검색어, 판매점수 낮은 상품 갯수
원피스, 5
니트원피스, 18
벨벳원피스, 85
롱원피스, 5
여름원피스, 184
겨울원피스, 31
트위드원피스, 162
뷔스티에원피스, 107
롱니트원피스, 35
하객원피스, 43
플레어원피스, 122
레이스원피스, 120
써스데이아일랜드원피스, 146
케네스레이디원피스, 197
연말원피스, 89
모조에스핀원피스, 202
니트롱원피스, 32
정장원피스, 124
후드원피스, 123
쉬폰원피스, 120
기모원피스, 70
지고트원피스, 227
지퍼플레어롱원피스, 205
잇미샤원피스, 180
여성원피스, 7
린원피스, 236
체크원피스, 139
미니원피스, 69
쉬폰롱원피스, 125
셀프웨딩드레스, 140
겨울롱원피스, 44
플라워원피스, 115
자켓원피스, 207
샤틴원피스, 233
셔츠원피스, 185
시슬리원피스, 178
에고이스트원피스, 219
오프숄더원피스, 214
스팽글원피스, 263
기모롱원피스, 72
