검색어, 판매점수 낮은 상품 갯수
롱스커트, 50
니트스커트, 109
플리츠스커트, 105
머메이드스커트, 179
스커트, 17
겨울롱스커트, 129
체크스커트, 164
스팽글스커트, 274
벨벳스커트, 186
모직스커트, 164
플레어스커트, 152
니트롱스커트, 153
울스커트, 131
트위드스커트, 246
미니스커트, 154
겨울스커트, 85
a라인스커트, 148
더봄, 112
레이스스커트, 234
주름스커트, 153
벨벳플리츠스커트, 219
코듀로이스커트, 225
미디스커트, 200
체크롱스커트, 219
롱치마, 36
샤스커트, 250
니트치마, 103
롱니트스커트, 151
머메이드롱스커트, 195
치마, 17
잇미샤스커트, 189
모직롱스커트, 196
레더스커트, 240
h라인스커트, 180
겨울미니스커트, 219
겨울롱치마, 111
하이웨스트스커트, 218
캉캉스커트, 245
지컷스커트, 289
패딩스커트, 257
