검색어, 판매점수 낮은 상품 갯수
여성기모청바지, 52
부츠컷청바지, 137
수비진, 131
하이웨스트청바지, 183
게스여성청바지, 184
청바지, 25
여자청바지, 37
일자청바지, 145
기모스키니, 156
제곱청바지, 250
융기모청바지, 208
밍크청바지, 214
제곱x2, 250
여성기모부츠컷, 159
여자기모청바지, 52
여성청바지, 36
하이웨스트스키니, 263
밍크기모청바지, 230
밴딩청바지, 192
뱅뱅여성기모청바지, 231
여자부츠컷바지, 204
코팅진, 250
게스청바지, 162
기모부츠컷청바지, 160
보이핏청바지, 244
여성기모데님, 118
게스여성기모청바지, 281
여성블랙진, 233
부츠컷, 123
여성게스청바지, 184
여자밴딩청바지, 177
데님오브벌츄, 282
여자연청바지, 286
여자일자청바지, 133
배기청바지, 242
세미부츠컷청바지, 228
흑청데님, 275
여성기모밴딩청바지, 197
기모일자청바지, 165
